scenario_name,scenario_type,model_name,display_name,pr_auc_mean,pr_auc_sd,mcc_mean,mcc_sd,roc_auc_mean,roc_auc_sd,f1_mean,f1_sd
Easy_Negatives_Farthest,easy_negatives,DNABERT2_multimodal,DNABERT-2 multimodal,0.7587,0.0307,0.3797,0.0499,0.7655,0.0267,0.7048,0.0563
Easy_Negatives_Farthest,easy_negatives,Genomic_only_K3K4Basic,Genomic-only,0.6531,0.0376,0.2356,0.0633,0.6485,0.0268,0.5488,0.0643
Easy_Negatives_Farthest,easy_negatives,Handcrafted_multimodal,Handcrafted multimodal,0.7706,0.0319,0.3744,0.0726,0.7719,0.0306,0.6927,0.0656
Easy_Negatives_Farthest,easy_negatives,Protein_only_ProtBERT_SW,Protein-only,0.7647,0.0352,0.3686,0.0599,0.7693,0.0296,0.6674,0.1181
Hard_Negatives_Closest,hard_negatives,DNABERT2_multimodal,DNABERT-2 multimodal,0.711,0.0322,0.3089,0.0532,0.7059,0.0247,0.5916,0.0695
Hard_Negatives_Closest,hard_negatives,Genomic_only_K3K4Basic,Genomic-only,0.6201,0.0324,0.151,0.0462,0.6156,0.023,0.4783,0.1277
Hard_Negatives_Closest,hard_negatives,Handcrafted_multimodal,Handcrafted multimodal,0.7088,0.03,0.2772,0.0393,0.7023,0.0259,0.5628,0.0904
Hard_Negatives_Closest,hard_negatives,Protein_only_ProtBERT_SW,Protein-only,0.6871,0.0219,0.2519,0.0693,0.6848,0.0282,0.6046,0.0866
Original_All,original,DNABERT2_multimodal,DNABERT-2 multimodal,0.7171,0.0248,0.3385,0.0419,0.7325,0.0185,0.6532,0.0758
Original_All,original,Genomic_only_K3K4Basic,Genomic-only,0.639,0.0303,0.2013,0.0622,0.6387,0.035,0.5171,0.0872
Original_All,original,Handcrafted_multimodal,Handcrafted multimodal,0.7162,0.0247,0.3319,0.0434,0.7308,0.0186,0.6506,0.0588
Original_All,original,Protein_only_ProtBERT_SW,Protein-only,0.6965,0.0177,0.3249,0.0296,0.7191,0.0161,0.6772,0.0446
Random_Negatives_1,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,0.7103,0.0367,0.296,0.0605,0.7142,0.0318,0.6492,0.0829
Random_Negatives_1,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,0.6279,0.0293,0.1701,0.0592,0.6236,0.0308,0.5363,0.104
Random_Negatives_1,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,0.7079,0.0389,0.2951,0.0668,0.7119,0.0318,0.6028,0.1173
Random_Negatives_1,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,0.6855,0.0429,0.2701,0.0801,0.703,0.0329,0.6236,0.1157
Random_Negatives_2,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,0.706,0.0362,0.3123,0.0634,0.7141,0.0337,0.6191,0.0649
Random_Negatives_2,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,0.6304,0.0352,0.1866,0.0649,0.6278,0.0337,0.55,0.0709
Random_Negatives_2,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,0.697,0.0338,0.2856,0.0737,0.7101,0.0297,0.6017,0.1073
Random_Negatives_2,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,0.6757,0.0403,0.2588,0.0574,0.6953,0.0289,0.6206,0.0777
Random_Negatives_3,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,0.7123,0.0321,0.2999,0.0543,0.712,0.0311,0.5585,0.1008
Random_Negatives_3,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,0.6375,0.0329,0.1843,0.0645,0.6252,0.0318,0.4677,0.1266
Random_Negatives_3,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,0.7097,0.0261,0.3018,0.0619,0.7128,0.027,0.6132,0.0964
Random_Negatives_3,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,0.6897,0.0228,0.2851,0.0392,0.7032,0.0229,0.6317,0.0687
Random_Negatives_4,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,0.7288,0.0307,0.3206,0.0555,0.7265,0.0274,0.6551,0.0478
Random_Negatives_4,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,0.6394,0.0367,0.2049,0.0516,0.6321,0.03,0.5104,0.0863
Random_Negatives_4,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,0.7183,0.0329,0.2999,0.069,0.7199,0.0285,0.619,0.1027
Random_Negatives_4,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,0.6996,0.026,0.2796,0.0711,0.7087,0.0308,0.5851,0.1084
Random_Negatives_5,random_negative_subset,DNABERT2_multimodal,DNABERT-2 multimodal,0.7105,0.0262,0.3214,0.0579,0.72,0.0282,0.6289,0.0621
Random_Negatives_5,random_negative_subset,Genomic_only_K3K4Basic,Genomic-only,0.6341,0.0291,0.1868,0.0612,0.6289,0.0262,0.5198,0.1064
Random_Negatives_5,random_negative_subset,Handcrafted_multimodal,Handcrafted multimodal,0.7057,0.0303,0.3115,0.0607,0.7143,0.0298,0.6203,0.0926
Random_Negatives_5,random_negative_subset,Protein_only_ProtBERT_SW,Protein-only,0.6804,0.0446,0.2779,0.0683,0.7021,0.0382,0.6394,0.0704
